Timestamp,Stopień naukowy do umieszczenia na certyfikacie uczestnictwa w konferencji (o ile dotyczy),Chcesz podzielić się odpowiedzią na to pytanie? Chętnie przedstawimy najciekawsze odpowiedzi,Czy chcesz uczestniczyć w konferencji?,W którym warsztacie porannym chciałabyś/chciałbyś uczestniczyć 27.09?,W którym warsztacie popołudniowym chciałabyś/chciałbyś uczestniczyć 27.09?,Obecne stanowisko,"Tematyka, którą się zajmujesz","Tematyka, którą się interesujesz","Proszę wpisz (po przecinku) najważniejsze technologie, z którymi pracujesz na co dzień","Proszę wpisz (po przecinku) pakiety do R, z którymi pracujesz na co dzień",Doświadczenie związane z analizą i przetwarzaniem danych - wpisz liczbę oznaczającą lata,Doświadczenie związane z pakietem statystycznym R - wpisz liczbę oznaczającą lata,Płeć,Kraj,Miasto,czy_ostatecznie_bedzie_na_konferencji,wiek
3/5/2017 13:11:31,NA,NA,Tak,Kiedy brakuje wydajności... R i C++ = Rcpp,Text mining w R,studentka,"społeczność R w Polsce, edukacja R i R w edukacji, statystyczne uczenie maszynowe i modele predykcyjne","wizualizacja danych, społeczność R w Polsce, edukacja R i R w edukacji, statystyczne uczenie maszynowe i modele predykcyjne","R, Python","ggplot2, devtools, roxygen2, MASS, glm",1,1,Kobieta,Polska,Warszawa,TRUE,NA
3/5/2017 14:47:39,mgr,Kodem czasem łatwiej wyrazić myśli niż słowem. Kodem R często łatwiej wytłumaczyć  całą analizę danych niż tekstem na prezentacji.,Tak,Analiza danych sondażowych w R,Złożone schematy doboru próby - pakiet survey,Data Scientist,"metodologia statystyczna, wizualizacja danych, integracja R z innymi językami/środowiskami, Big Data i hurtownie danych, rozwój oprogramowania, R w biznesie, społeczność R w Polsce, statystyczne uczenie maszynowe i modele predykcyjne, klastrowanie i segmentacja, analiza tekstu, aplikacje shiny i htmlwidgets, tworzenie raportów i dashboardów","badania kliniczne, bioinformatyka, edukacja R i R w edukacji, ekonomia, finanse i ubezpieczenia, tworzenie i wizualizacja map","R,spark,hive,beeline,shiny,linux,sql,html,jekyll,zabbix,github,travis","tidyverse,glmnet,survminer,survival,shiny,ggplot2,dplyr,tidyr,magrittr,ktnir,rmarkdown,randomForests,LDA,LADvis,flexdashboard,,archivist,RZabbix,Rcpp,FSelectorRcpp",3,4,Mężczyzna,Polska,Warszawa,TRUE,NA
3/5/2017 15:34:15,mgr,NA,Tak,Żadnym,Kombajn do uczenia maszynowego - MLR w praktyce,Analityk danych,"wizualizacja danych, Big Data i hurtownie danych, R w biznesie, społeczność R w Polsce, statystyczne uczenie maszynowe i modele predykcyjne, tworzenie i wizualizacja map, analiza szeregów czasowych, tworzenie raportów i dashboardów","wizualizacja danych, Big Data i hurtownie danych, R w biznesie, społeczność R w Polsce, statystyczne uczenie maszynowe i modele predykcyjne, klastrowanie i segmentacja, tworzenie i wizualizacja map, analiza szeregów czasowych, tworzenie raportów i dashboardów",NA,NA,7,4,Mężczyzna,Polska,Kraków,TRUE,NA
3/5/2017 21:16:08,lic.,NA,Tak,MicrosoftML - State of the art Machine Learning Microsoft,Złożone schematy doboru próby - pakiet survey,NA,NA,"wizualizacja danych, Big Data i hurtownie danych, statystyczne uczenie maszynowe i modele predykcyjne, tworzenie i wizualizacja map, analiza tekstu, tworzenie raportów i dashboardów","R, Python, JavaScript, SAS","dplyr, ggplot2,",3,2,Kobieta,Polska,Sopot,TRUE,24
3/5/2017 22:09:36,NA,"Bo jest to język, dzięki czemu wszystko staje się możliwe.",Tak,Analiza danych sondażowych w R,Text mining w R,NA,"metodologia statystyczna, społeczność R w Polsce, edukacja R i R w edukacji, R w badaniach społecznych, analiza tekstu","metodologia statystyczna, wizualizacja danych, Big Data i hurtownie danych, R w biznesie, społeczność R w Polsce, edukacja R i R w edukacji, statystyczne uczenie maszynowe i modele predykcyjne, R w badaniach społecznych, analiza tekstu, analiza i przetwarzanie obrazu",NA,NA,NA,NA,Kobieta,NA,Kraków,TRUE,NA
3/5/2017 22:21:58,NA,"R daje swobodę i wolność, ograniczoną tylko stopniem zaawansowania w użytkowaniu. Jeżeli ktoś lubi ciągle się uczyć czegoś nowego w analizie danych, to R się do tego świetnie nadaje.",Tak,Analiza danych sondażowych w R,Złożone schematy doboru próby - pakiet survey,NA,"metodologia statystyczna, R w badaniach społecznych, tworzenie raportów i dashboardów","metodologia statystyczna, badania kliniczne, wizualizacja danych, R w biznesie, społeczność R w Polsce, edukacja R i R w edukacji, statystyczne uczenie maszynowe i modele predykcyjne, klastrowanie i segmentacja, statystyka przestrzenna, R w badaniach społecznych, analiza tekstu, analiza szeregów czasowych, tworzenie raportów i dashboardów",NA,NA,10,2,Mężczyzna,Polska,Kraków,TRUE,NA
3/6/2017 0:39:01,NA,polecili mi na stronie ze śmiesznymi obrazkami,Tak,Żadnym,Żadnym,lekarz,biostatystyka i epidemiologia,"badania kliniczne, bioinformatyka, statystyczne uczenie maszynowe i modele predykcyjne, biostatystyka i epidemiologia","EKG, USG, RTG, CT, R, SQL","lme4, nlme, gam, ggplot2, dplyr, data.table, limma",4,4,Mężczyzna,Polska,Białystok,TRUE,28
3/6/2017 9:21:19,NA,NA,Tak,Machine Learning w R przy użyciu H2O,Klasyfikacja wieloetykietowa z pakietem R,Data Analyst,"statystyczne uczenie maszynowe i modele predykcyjne, klastrowanie i segmentacja, analiza tekstu","integracja R z innymi językami/środowiskami, Big Data i hurtownie danych, społeczność R w Polsce, obliczenia w chmurze",NA,"Reckord.Linkage, data.table, gtool, stringi",6,1,Mężczyzna,Polska,Poznań,FALSE,NA
3/6/2017 11:25:26,NA,Comprehensive environment for data science. Wszystkomające środowisko do eksploracji danych. W tym społecznościowe.,Tak,Machine Learning w R przy użyciu H2O,Kombajn do uczenia maszynowego - MLR w praktyce,NA,"wizualizacja danych, R w biznesie","badania kliniczne, wizualizacja danych, statystyczne uczenie maszynowe i modele predykcyjne","Excel, MŚ SQL Access R","dplyr, tidyr,",2,1,Mężczyzna,Polska,Warszawa,TRUE,NA
3/6/2017 11:35:47,NA,NA,Tak,Analiza danych sondażowych w R,mirt: skalowanie odpowiedzi lepsze niż PCA,analityk,"metodologia statystyczna, badania kliniczne, wizualizacja danych, odtwarzalne obliczenia, statystyczne uczenie maszynowe i modele predykcyjne, R w badaniach społecznych, biostatystyka i epidemiologia","metodologia statystyczna, badania kliniczne, wizualizacja danych, Big Data i hurtownie danych, R w biznesie, odtwarzalne obliczenia, statystyczne uczenie maszynowe i modele predykcyjne, klastrowanie i segmentacja, R w badaniach społecznych, biostatystyka i epidemiologia, tworzenie raportów i dashboardów","R, Statistica",tidyverse,4,1,Mężczyzna,Polska,Poznań,TRUE,NA
3/6/2017 11:37:51,NA,NA,Tak,Interaktywne wizualizacje w R i plotly - case study,"Nie pisz kodu, pisz prozę - wprowadzenie do pakietu dplyr",Student,"metodologia statystyczna, statystyczne uczenie maszynowe i modele predykcyjne, ekonomia, finanse i ubezpieczenia","metodologia statystyczna, wizualizacja danych, R w biznesie, statystyczne uczenie maszynowe i modele predykcyjne, ekonomia, finanse i ubezpieczenia","Excel, VBA, SPSS, Octave, SAS",-,3,2,Mężczyzna,Polska,Warszawa,FALSE,NA
3/6/2017 13:01:48,dr,NA,Tak,XGBoost rządzi,Kombajn do uczenia maszynowego - MLR w praktyce,adiunkt,"metodologia statystyczna, wizualizacja danych, R w biznesie, edukacja R i R w edukacji, ekonomia, finanse i ubezpieczenia, klastrowanie i segmentacja, statystyka przestrzenna, tworzenie i wizualizacja map, analiza szeregów czasowych","metodologia statystyczna, wizualizacja danych, integracja R z innymi językami/środowiskami, Big Data i hurtownie danych, R w biznesie, społeczność R w Polsce, edukacja R i R w edukacji, ekonomia, finanse i ubezpieczenia, klastrowanie i segmentacja, statystyka przestrzenna, tworzenie i wizualizacja map, analiza tekstu, aplikacje shiny i htmlwidgets, tworzenie raportów i dashboardów","R, SAS","xts, dplyr, Rcpp, spdep, maptools, TTR, caTools",17,10,Mężczyzna,Polska,Warszawa,TRUE,41
3/6/2017 13:18:39,NA,"Za darmo, duże możliwowści, prostota, społeczność.",Tak,Żadnym,"Nie pisz kodu, pisz prozę - wprowadzenie do pakietu dplyr",NA,"Big Data i hurtownie danych, R w biznesie, klastrowanie i segmentacja","ekonomia, finanse i ubezpieczenia","SAS, MS SQL",NA,10,1,Kobieta,Polska,Warszawa,TRUE,NA
3/6/2017 14:03:15,NA,no,Tak,XGBoost rządzi,Kombajn do uczenia maszynowego - MLR w praktyce,NA,"wizualizacja danych, R w biznesie, ekonomia, finanse i ubezpieczenia","metodologia statystyczna, wizualizacja danych, R w biznesie",NA,NA,NA,NA,Mężczyzna,Polska,Warszawa,TRUE,NA
3/6/2017 14:16:21,NA,NA,Tak,Analiza danych sondażowych w R,Text mining w R,doktorant,"wizualizacja danych, społeczność R w Polsce, edukacja R i R w edukacji, statystyczne uczenie maszynowe i modele predykcyjne","wizualizacja danych, integracja R z innymi językami/środowiskami, Big Data i hurtownie danych, odtwarzalne obliczenia, analiza tekstu, aplikacje shiny i htmlwidgets, tworzenie raportów i dashboardów",NA,"ggplot2, mlr, caret, RMySQL",3,2,Kobieta,Polska,Gdańsk,TRUE,NA
3/6/2017 14:48:25,NA,Because I bReathe data.,Tak,Kiedy brakuje wydajności... R i C++ = Rcpp,Klasyfikacja wieloetykietowa z pakietem R,"programmer, analyst, community manager","wizualizacja danych, rozwój oprogramowania, tworzenie raportów i dashboardów","wizualizacja danych, rozwój oprogramowania, R w biznesie, edukacja R i R w edukacji, ekonomia, finanse i ubezpieczenia, klastrowanie i segmentacja, tworzenie i wizualizacja map, tworzenie raportów i dashboardów","Python, ReactJS, Ruby, Rails, Django",NA,3.5,4.5,Kobieta,Polska,Warszawa,TRUE,28
3/6/2017 15:08:42,dr,Bo tak :D,Tak,XGBoost rządzi,Kombajn do uczenia maszynowego - MLR w praktyce,Asystent,"metodologia statystyczna, wizualizacja danych, edukacja R i R w edukacji, statystyczne uczenie maszynowe i modele predykcyjne, ekonomia, finanse i ubezpieczenia, statystyka przestrzenna","metodologia statystyczna, edukacja R i R w edukacji",R;,"survey, dplyr, tidyr, ggplot2, data.table, sae",6,4,Mężczyzna,Polska,Poznań,TRUE,NA
3/6/2017 15:53:34,NA,NA,Tak,MicrosoftML - State of the art Machine Learning Microsoft,mirt: skalowanie odpowiedzi lepsze niż PCA,"Data Scientist, współorganizatorka Warszawskich Spotkań Entuzjastów R i R-Ladies","R w biznesie, społeczność R w Polsce","wizualizacja danych, R w biznesie, społeczność R w Polsce, analiza szeregów czasowych, aplikacje shiny i htmlwidgets, tworzenie raportów i dashboardów",R,"dplyr, shiny, forecast, plotly, purrr",4,5,Kobieta,Polska,Warszawa,TRUE,28
3/6/2017 15:59:55,NA,NA,Tak,Kiedy brakuje wydajności... R i C++ = Rcpp,Text mining w R,NA,"wizualizacja danych, integracja R z innymi językami/środowiskami, społeczność R w Polsce, edukacja R i R w edukacji","wizualizacja danych, bioinformatyka, statystyczne uczenie maszynowe i modele predykcyjne, aplikacje shiny i htmlwidgets",NA,"ggplot2, dplyr, devtools, lme4",2,2,Kobieta,NA,NA,TRUE,NA
3/6/2017 16:02:45,NA,Why not?:),Tak,Analiza danych sondażowych w R,Text mining w R,student,"metodologia statystyczna, wizualizacja danych, bioinformatyka, analiza tekstu, aplikacje shiny i htmlwidgets","wizualizacja danych, bioinformatyka, edukacja R i R w edukacji, analiza tekstu, aplikacje shiny i htmlwidgets",NA,NA,NA,NA,Kobieta,Polska,Gdańsk,FALSE,25
3/6/2017 16:45:29,mgr inż.,"Ponieważ pozwolił mi na przykładach zrozumieć na czym polega analiza danych i dał niesamowite możliwości pod względem pytań i odpowiedzi. Poza tym dzięki niemu mam czas dla siebie, który zaoszczędziłem na powtarzaniu kliknięć w programach okienkowych;)",Tak,Żadnym,Web scraping w R i nie tylko,doktorant,"wizualizacja danych, odtwarzalne obliczenia, statystyczne uczenie maszynowe i modele predykcyjne, statystyka przestrzenna, tworzenie i wizualizacja map","wizualizacja danych, odtwarzalne obliczenia, statystyka przestrzenna, tworzenie i wizualizacja map","R,","dplyr, reshape2, ggplot2, vegan, caret",4.5,4.5,Mężczyzna,Polska,Poznań,TRUE,NA
3/6/2017 18:04:21,NA,NA,Tak,Żadnym,Efektywna i efektowna wizualizacja w ggplot2,Architect,"metodologia statystyczna, Big Data i hurtownie danych, rozwój oprogramowania, analiza tekstu, obliczenia w chmurze","metodologia statystyczna, wizualizacja danych, Big Data i hurtownie danych, odtwarzalne obliczenia, analiza tekstu, obliczenia w chmurze",NA,NA,NA,NA,Mężczyzna,Polska,Kraków,TRUE,NA
3/6/2017 18:57:15,NA,because it is flexible and powerful tool,Tak,Machine Learning w R przy użyciu H2O,Text mining w R,Analityk danych,"integracja R z innymi językami/środowiskami, tworzenie raportów i dashboardów","wizualizacja danych, Big Data i hurtownie danych, aplikacje shiny i htmlwidgets","Google Analytics, Tableau, Excel, R","googleAnalyticsR, RPostgreSQL, dplyr",5,0,Mężczyzna,Polska,Łódź,TRUE,38
3/6/2017 19:13:49,dr,NA,Nie,XGBoost rządzi,Żadnym,adiunkt,"metodologia statystyczna, badania kliniczne, wizualizacja danych, bioinformatyka, statystyczne uczenie maszynowe i modele predykcyjne","metodologia statystyczna, badania kliniczne, wizualizacja danych, bioinformatyka, Big Data i hurtownie danych, rozwój oprogramowania, edukacja R i R w edukacji, odtwarzalne obliczenia, statystyczne uczenie maszynowe i modele predykcyjne",sekwencjonowanie RNA i DNA,"limma, edgeR, DESeq2, ggplot2",10,8,Kobieta,Polska,Poznań,FALSE,NA
3/6/2017 19:35:07,NA,NA,Tak,Żadnym,Żadnym,Junior Digital Analyst,"wizualizacja danych, R w biznesie, klastrowanie i segmentacja, obliczenia w chmurze, analiza szeregów czasowych, aplikacje shiny i htmlwidgets, tworzenie raportów i dashboardów","wizualizacja danych, R w biznesie, edukacja R i R w edukacji, statystyczne uczenie maszynowe i modele predykcyjne, klastrowanie i segmentacja, obliczenia w chmurze, analiza szeregów czasowych, aplikacje shiny i htmlwidgets","Google Cloud Platform, Google Analytics, Google Tag Manager, RStudio","dplyr, rmarkdown, shiny, readr, googleAnalyticsR",2,1,Mężczyzna,Polska,Łódź,TRUE,NA
3/6/2017 19:55:03,mgr inż.,NA,Tak,Machine Learning w R przy użyciu H2O,Text mining w R,"Data Cowboy, Head od Data Mining Center","wizualizacja danych, integracja R z innymi językami/środowiskami, Big Data i hurtownie danych, R w biznesie, statystyczne uczenie maszynowe i modele predykcyjne, klastrowanie i segmentacja, biostatystyka i epidemiologia, analiza tekstu, obliczenia w chmurze, aplikacje shiny i htmlwidgets, tworzenie raportów i dashboardów",NA,"R, SQL, Tableau, Shiny, Azure, AWS",NA,10,5,Mężczyzna,Polska,Łódź,FALSE,NA
3/6/2017 20:34:47,NA,NA,Tak,XGBoost rządzi,mirt: skalowanie odpowiedzi lepsze niż PCA,Programista-badacz,"rozwój oprogramowania, statystyczne uczenie maszynowe i modele predykcyjne, klastrowanie i segmentacja, analiza tekstu","rozwój oprogramowania, statystyczne uczenie maszynowe i modele predykcyjne, klastrowanie i segmentacja, analiza tekstu, obliczenia w chmurze, analiza i przetwarzanie obrazu","git, linux cli",-,6,6,Mężczyzna,Polska,Warszawa,TRUE,NA
3/6/2017 20:53:18,NA,What else?,Tak,XGBoost rządzi,Kombajn do uczenia maszynowego - MLR w praktyce,modelarz ryzyka kredytowego,"R w biznesie, ekonomia, finanse i ubezpieczenia, analiza szeregów czasowych","bioinformatyka, R w biznesie, statystyczne uczenie maszynowe i modele predykcyjne, ekonomia, finanse i ubezpieczenia, analiza szeregów czasowych, inżynieria finansowa (wycena derywatów)","SaS-4gl, rStudio - R, Anaconda/Jupyter -Python",NA,1,0,Mężczyzna,Polska,Łódź,FALSE,NA
3/6/2017 21:05:49,NA,NA,Tak,Machine Learning w R przy użyciu H2O,Kombajn do uczenia maszynowego - MLR w praktyce,Konsultant Business Intelligence,"wizualizacja danych, Big Data i hurtownie danych, R w biznesie, tworzenie raportów i dashboardów","wizualizacja danych, Big Data i hurtownie danych, R w biznesie, statystyczne uczenie maszynowe i modele predykcyjne, obliczenia w chmurze, tworzenie raportów i dashboardów","Tableau, Alteryx, DB2",NA,7,0,Mężczyzna,Polska,Warszawa,FALSE,NA
3/6/2017 21:18:53,NA,[pytanie R-etoryczne],Tak,Machine Learning w R przy użyciu H2O,mirt: skalowanie odpowiedzi lepsze niż PCA,derivative operation officer,"R w biznesie, ekonomia, finanse i ubezpieczenia","R w biznesie, edukacja R i R w edukacji, statystyczne uczenie maszynowe i modele predykcyjne, ekonomia, finanse i ubezpieczenia, analiza szeregów czasowych","rStudio, Tebleau",NA,1,NA,Kobieta,Polska,Łódź,FALSE,27
3/6/2017 21:41:02,mgr inż.,"Za darmo, open source, ogrom możliwości i gotowych przykładów, łatwo zacząć ludziom takim jak ja rok temu (kompletne 0 z programowania i staty). Kawał dobrego pakietu statystycznego!",Tak,XGBoost rządzi,Kombajn do uczenia maszynowego - MLR w praktyce,Początkujący członek grupy MI^2,"wizualizacja danych, statystyczne uczenie maszynowe i modele predykcyjne, analiza tekstu","wizualizacja danych, Big Data i hurtownie danych, statystyczne uczenie maszynowe i modele predykcyjne","IBM Streams, R, Hadoop, Spark, Java","XGBoost, caret, dplyr, sparklyr, glm, randomForest, readr",1,1,Mężczyzna,Polska,Warszawa,TRUE,27
3/6/2017 22:09:14,mgr,NA,Tak,Machine Learning w R przy użyciu H2O,Text mining w R,Data scientist,"wizualizacja danych, integracja R z innymi językami/środowiskami, R w biznesie, statystyczne uczenie maszynowe i modele predykcyjne, klastrowanie i segmentacja, analiza tekstu, obliczenia w chmurze, aplikacje shiny i htmlwidgets, tworzenie raportów i dashboardów","metodologia statystyczna, integracja R z innymi językami/środowiskami, R w biznesie, statystyczne uczenie maszynowe i modele predykcyjne, tworzenie i wizualizacja map","R, sql, python, AWS, Tableau","Sqldf, dplyr, flexdashboard, tm, neuralnet, ctree, rocr, jodbc",2,1,Mężczyzna,Polska,Tomaszów Maz,FALSE,NA
3/6/2017 22:38:07,NA,NA,Tak,Żadnym,Żadnym,System engineer,"rozwój oprogramowania, telekomunikacja","wizualizacja danych, rozwój oprogramowania, statystyczne uczenie maszynowe i modele predykcyjne, tworzenie i wizualizacja map","R, Python",NA,2,2,Mężczyzna,Polska,Łódź,TRUE,NA
